date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:38:00	16291/16291	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2019:07:59%20GMT	https://www.albahartrading.com/robots.txt		(from )
00:38:00	79478/79478	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2019:08:00%20GMT	https://www.albahartrading.com/	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/index.html	(from )
00:38:02	2922/2922	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Nov%202023%2012:43:54%20GMT	https://www.albahartrading.com/assets/css/flaticon.css	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/css/flaticon.css	(from https://www.albahartrading.com/)
00:38:02	4645/4645	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Nov%202023%2012:43:56%20GMT	https://www.albahartrading.com/assets/css/owl.css	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/css/owl.css	(from https://www.albahartrading.com/)
00:38:02	172640/172640	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Nov%202023%2012:44:58%20GMT	https://albahartrading.com/assets/images/AlBaharwhitelogo.png	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/albahartrading.com/assets/images/AlBaharwhitelogo.png	(from https://www.albahartrading.com/)
00:38:03	75010/75010	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Nov%202023%2012:43:52%20GMT	https://www.albahartrading.com/assets/css/animate.css	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/css/animate.css	(from https://www.albahartrading.com/)
00:38:03	168318/168318	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Nov%202023%2012:43:52%20GMT	https://www.albahartrading.com/assets/css/bootstrap.css	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/css/bootstrap.css	(from https://www.albahartrading.com/)
00:38:03	3270/3270	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Nov%202023%2012:43:53%20GMT	https://www.albahartrading.com/assets/css/color.css	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/css/color.css	(from https://www.albahartrading.com/)
00:38:04	32024/32024	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Nov%202023%2012:43:55%20GMT	https://www.albahartrading.com/assets/css/global.css	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/css/global.css	(from https://www.albahartrading.com/)
00:38:04	87742/87742	---M--	200	added ('OK')	text/css	date:Sat,%2004%20Nov%202023%2006:18:12%20GMT	https://www.albahartrading.com/assets/css/style.css	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/css/style.css	(from https://www.albahartrading.com/)
00:38:04	13735/13735	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Nov%202023%2012:43:57%20GMT	https://www.albahartrading.com/assets/css/jquery.fancybox.min.css	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/css/jquery.fancybox.min.css	(from https://www.albahartrading.com/)
00:38:04	9219/9219	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Nov%202023%2012:43:58%20GMT	https://www.albahartrading.com/assets/css/responsive.css	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/css/responsive.css	(from https://www.albahartrading.com/)
00:38:05	86442/86442	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Nov%202023%2012:43:55%20GMT	https://www.albahartrading.com/assets/css/font-awesome-all.css	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/css/font-awesome-all.css	(from https://www.albahartrading.com/)
00:38:05	79478/79478	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2019:08:05%20GMT	https://www.albahartrading.com/index.php	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/index-2.html	(from https://www.albahartrading.com/)
00:38:06	31924/31924	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2001%20Nov%202023%2012:44:54%20GMT	https://www.albahartrading.com/assets/images/AlBaharlogo2.svg	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/images/AlBaharlogo2.svg	(from https://www.albahartrading.com/)
00:38:06	738055/738055	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Nov%202023%2012:44:52%20GMT	https://www.albahartrading.com/assets/images/AlBaharlogo.png	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/images/AlBaharlogo.png	(from https://www.albahartrading.com/)
00:38:06	37040/37040	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2019:08:05%20GMT	https://www.albahartrading.com/about.php	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/about.html	(from https://www.albahartrading.com/)
00:38:06	69541/69541	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2019:08:06%20GMT	https://www.albahartrading.com/hardware.php	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/hardware.html	(from https://www.albahartrading.com/)
00:38:06	52033/52033	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2019:08:06%20GMT	https://www.albahartrading.com/building-materials.php	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/building-materials.html	(from https://www.albahartrading.com/)
00:38:07	83/83	---M--	409	error ('Conflict')	text/html	date:Mon,%2005%20Aug%202024%2019:08:06%20GMT	https://www.albahartrading.com/contact.php	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/contact.php	(from https://www.albahartrading.com/)
00:38:08	31924/31924	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2001%20Nov%202023%2012:44:52%20GMT	https://www.albahartrading.com/assets/images/AlBaharlogo.svg	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/images/AlBaharlogo.svg	(from https://www.albahartrading.com/)
00:38:08	176148/176148	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Nov%202023%2012:45:19%20GMT	https://www.albahartrading.com/assets/images/banner/banner-01.jpg	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/images/banner/banner-01.jpg	(from https://www.albahartrading.com/)
00:38:08	15699/15699	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Nov%202023%2012:45:48%20GMT	https://www.albahartrading.com/assets/images/banner/shape-01.png	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/images/banner/shape-01.png	(from https://www.albahartrading.com/)
00:38:09	324244/324244	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Nov%202023%2012:45:19%20GMT	https://www.albahartrading.com/assets/images/banner/banner-02.png	C:/Users/lenovo/OneDrive/Desktop/aaaaaaaaaaaaaaaaa/albhaa/www.albahartrading.com/assets/images/banner/banner-02.png	(from https://www.albahartrading.com/)
